,ID,x,y,rssi1,rssi2,rssi3,rssi4,rssi5
0,11425,0.0,1.8,-34,-33,-41,-50,-43
1,11425,0.0,1.8,-34,-31,-41,-45,-39
2,11425,0.0,1.8,-34,-35,-49,-40,-39
3,11425,0.0,1.8,-82,-31,-68,-46,-39
4,11425,0.0,1.8,-34,-35,-49,-44,-42
5,11425,0.0,1.8,-38,-33,-46,-40,-39
6,11425,0.0,1.8,-33,-34,-44,-49,-39
7,11425,0.0,1.8,-37,-36,-48,-50,-42
8,11425,0.0,1.8,-33,-34,-49,-41,-37
9,11425,0.0,1.8,-33,-31,-57,-40,-43
10,11425,0.0,1.8,-36,-34,-48,-49,-36
11,11425,0.0,1.8,-36,-31,-61,-40,-56
12,11425,0.0,1.8,-34,-34,-48,-50,-61
13,11425,0.0,1.8,-34,-37,-41,-40,-41
14,11425,0.0,1.8,-34,-34,-60,-49,-39
15,11425,0.0,1.8,-36,-31,-40,-49,-58
16,11425,0.0,1.8,-34,-31,-40,-40,-37
17,11425,0.0,1.8,-34,-36,-48,-40,-39
18,11425,0.0,1.8,-33,-36,-49,-44,-36
19,11425,0.0,1.8,-35,-34,-40,-44,-40
0,11428,0.0,3.6,-47,-49,-48,-42,-31
1,11428,0.0,3.6,-40,-40,-44,-42,-37
2,11428,0.0,3.6,-46,-49,-48,-51,-31
3,11428,0.0,3.6,-46,-40,-40,-51,-39
4,11428,0.0,3.6,-46,-40,-48,-48,-35
5,11428,0.0,3.6,-46,-48,-48,-47,-39
6,11428,0.0,3.6,-46,-45,-48,-48,-34
7,11428,0.0,3.6,-46,-40,-48,-51,-35
8,11428,0.0,3.6,-41,-49,-40,-40,-32
9,11428,0.0,3.6,-40,-46,-44,-47,-34
10,11428,0.0,3.6,-46,-40,-44,-41,-32
11,11428,0.0,3.6,-39,-40,-44,-47,-34
12,11428,0.0,3.6,-40,-48,-57,-58,-37
13,11428,0.0,3.6,-49,-48,-45,-40,-37
14,11428,0.0,3.6,-42,-49,-47,-47,-32
15,11428,0.0,3.6,-44,-39,-48,-48,-32
16,11428,0.0,3.6,-41,-49,-52,-58,-37
17,11428,0.0,3.6,-45,-39,-52,-39,-37
18,11428,0.0,3.6,-46,-49,-46,-40,-32
19,11428,0.0,3.6,-41,-49,-47,-46,-32
0,11431,0.0,5.4,-45,-34,-37,-54,-38
1,11431,0.0,5.4,-35,-37,-37,-36,-36
2,11431,0.0,5.4,-44,-41,-47,-55,-36
3,11431,0.0,5.4,-44,-34,-46,-36,-35
4,11431,0.0,5.4,-44,-34,-47,-57,-35
5,11431,0.0,5.4,-35,-37,-46,-57,-35
6,11431,0.0,5.4,-36,-33,-47,-36,-36
7,11431,0.0,5.4,-35,-37,-37,-36,-36
8,11431,0.0,5.4,-35,-34,-37,-42,-36
