,x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi1_std_dev,rssi2_std_dev,rssi3_std_dev,rssi4_std_dev,rssi5_std_dev
1,0.0,1.2,-30.45,-43.2,-44.65,-46.4,-44.9,1.5381123085406383,9.384197242957804,13.393930282820374,4.903274952840999,10.48758664728023
3,0.0,2.4,-36.75,-45.3,-46.65,-44.5,-38.75,4.655217785622811,3.8675437601715776,1.4608937423083823,2.115108557622116,5.138861229576268
5,0.0,3.6,-43.85,-44.8,-46.9,-46.55,-34.45,2.996050031203365,4.36010622758087,3.9456838510746897,5.558066683943069,2.6650762801367187
7,0.0,4.8,-37.35,-43.8,-49.55,-43.65,-36.2,3.616846547390202,5.094889079935117,1.4680814547887788,2.300457620378583,1.5761378513048243
9,0.0,6.0,-45.0,-44.1,-43.15,-31.15,-47.5,5.767422118653779,3.1606128652858634,4.055859958134649,1.755442664221313,7.6123168891640764
21,1.2,0.0,-38.7,-45.75,-52.85,-45.15,-41.8,6.317061275458291,4.1278897374094825,5.029125695700783,3.013565819319104,1.4725559590832482
23,1.2,3.6,-49.4,-39.0,-43.45,-45.8,-28.6,5.985948458462403,2.152110347395882,1.09904264559757,9.88672688107913,2.3260538075868915
29,2.4,0.0,-40.85,-27.95,-55.75,-53.3,-43.0,3.248886448907492,2.114486375359024,12.025739937842976,7.874676267364232,4.116718161479194
31,2.4,3.6,-45.05,-30.6,-50.75,-39.8,-31.5,2.038446260732605,4.05748171834906,11.39655996111846,2.647739850474262,1.1002392084403625
33,2.4,4.8,-43.65,-35.3,-40.8,-48.95,-32.55,6.2431014559651095,1.454575358544277,0.6958523739384588,3.872643595924188,3.561120462350076
34,2.4,6.0,-44.2,-46.35,-39.55,-34.7,-41.55,2.726092248506722,8.060788782090352,2.502104377476982,0.8645047258706176,9.3834961501564
