,ID,x,y,rssi1,rssi2,rssi3,rssi4,rssi5
0,11474,0.08,2.22,-33,-36,-43,-51,-32
1,11474,0.08,2.22,-33,-35,-44,-51,-35
2,11474,0.08,2.22,-37,-48,-48,-52,-35
3,11474,0.08,2.22,-34,-36,-44,-52,-34
4,11474,0.08,2.22,-34,-40,-46,-59,-34
5,11474,0.08,2.22,-36,-48,-49,-47,-31
6,11474,0.08,2.22,-34,-36,-45,-46,-32
7,11474,0.08,2.22,-37,-38,-43,-51,-35
8,11474,0.08,2.22,-33,-48,-45,-53,-34
9,11474,0.08,2.22,-33,-42,-44,-46,-37
10,11474,0.08,2.22,-33,-42,-48,-52,-31
11,11474,0.08,2.22,-47,-40,-58,-54,-32
12,11474,0.08,2.22,-82,-41,-46,-47,-35
13,11474,0.08,2.22,-45,-44,-57,-50,-34
14,11474,0.08,2.22,-36,-43,-50,-50,-36
15,11474,0.08,2.22,-36,-39,-56,-56,-32
16,11474,0.08,2.22,-34,-49,-45,-45,-32
17,11474,0.08,2.22,-37,-44,-44,-50,-31
18,11474,0.08,2.22,-34,-42,-64,-46,-34
19,11474,0.08,2.22,-36,-48,-44,-45,-35
0,11476,1.34,0.46,-43,-41,-55,-45,-37
1,11476,1.34,0.46,-30,-29,-52,-53,-35
2,11476,1.34,0.46,-30,-27,-44,-44,-39
3,11476,1.34,0.46,-41,-26,-47,-47,-38
4,11476,1.34,0.46,-28,-26,-59,-55,-34
5,11476,1.34,0.46,-30,-26,-58,-35,-40
6,11476,1.34,0.46,-27,-29,-48,-55,-33
7,11476,1.34,0.46,-30,-27,-49,-46,-35
8,11476,1.34,0.46,-29,-29,-45,-47,-43
9,11476,1.34,0.46,-30,-27,-51,-49,-32
10,11476,1.34,0.46,-28,-31,-53,-52,-49
11,11476,1.34,0.46,-29,-27,-56,-55,-36
12,11476,1.34,0.46,-28,-28,-49,-46,-44
13,11476,1.34,0.46,-29,-30,-51,-36,-43
14,11476,1.34,0.46,-26,-31,-52,-51,-42
15,11476,1.34,0.46,-27,-27,-51,-57,-34
16,11476,1.34,0.46,-31,-28,-50,-51,-34
17,11476,1.34,0.46,-33,-27,-49,-58,-40
18,11476,1.34,0.46,-34,-28,-51,-35,-97
19,11476,1.34,0.46,-34,-28,-50,-35,-42
0,11478,2.83,4.25,-49,-41,-43,-40,-30
1,11478,2.83,4.25,-39,-40,-82,-48,-30
2,11478,2.83,4.25,-49,-40,-51,-56,-38
3,11478,2.83,4.25,-41,-40,-43,-55,-40
4,11478,2.83,4.25,-49,-40,-51,-55,-41
5,11478,2.83,4.25,-39,-39,-42,-40,-30
6,11478,2.83,4.25,-40,-39,-44,-47,-37
7,11478,2.83,4.25,-48,-40,-42,-49,-30
8,11478,2.83,4.25,-48,-40,-44,-48,-38
9,11478,2.83,4.25,-39,-40,-43,-40,-30
10,11478,2.83,4.25,-48,-39,-43,-47,-38
11,11478,2.83,4.25,-39,-40,-50,-56,-30
12,11478,2.83,4.25,-39,-41,-50,-40,-37
13,11478,2.83,4.25,-48,-40,-42,-56,-41
14,11478,2.83,4.25,-49,-42,-43,-57,-38
15,11478,2.83,4.25,-40,-40,-42,-40,-30
16,11478,2.83,4.25,-39,-97,-44,-56,-40
17,11478,2.83,4.25,-48,-38,-43,-48,-38
18,11478,2.83,4.25,-48,-41,-43,-40,-30
19,11478,2.83,4.25,-42,-41,-50,-56,-30
