,ID,x,y,rssi1,rssi2,rssi3,rssi4,rssi5
0,11423,0.0,0.6,-30,-35,-56,-53,-45
1,11423,0.0,0.6,-47,-36,-51,-43,-43
2,11423,0.0,0.6,-31,-30,-57,-41,-36
3,11423,0.0,0.6,-35,-38,-54,-46,-42
4,11423,0.0,0.6,-31,-40,-59,-45,-44
5,11423,0.0,0.6,-48,-36,-54,-48,-36
6,11423,0.0,0.6,-46,-35,-57,-46,-44
7,11423,0.0,0.6,-30,-33,-58,-41,-38
8,11423,0.0,0.6,-38,-40,-58,-47,-45
9,11423,0.0,0.6,-35,-52,-59,-45,-42
10,11423,0.0,0.6,-29,-47,-56,-43,-45
11,11423,0.0,0.6,-22,-37,-54,-44,-50
12,11423,0.0,0.6,-24,-45,-56,-49,-40
13,11423,0.0,0.6,-23,-38,-59,-52,-39
14,11423,0.0,0.6,-27,-36,-47,-51,-56
15,11423,0.0,0.6,-40,-45,-48,-52,-43
16,11423,0.0,0.6,-32,-52,-52,-48,-47
17,11423,0.0,0.6,-25,-42,-45,-59,-55
18,11423,0.0,0.6,-30,-52,-59,-56,-46
19,11423,0.0,0.6,-31,-40,-46,-62,-57
0,11424,0.0,1.2,-31,-39,-39,-38,-32
1,11424,0.0,1.2,-32,-60,-39,-50,-33
2,11424,0.0,1.2,-32,-38,-44,-50,-33
3,11424,0.0,1.2,-28,-39,-100,-38,-65
4,11424,0.0,1.2,-31,-62,-38,-48,-48
5,11424,0.0,1.2,-31,-39,-44,-48,-34
6,11424,0.0,1.2,-29,-38,-44,-38,-58
7,11424,0.0,1.2,-32,-39,-44,-50,-55
8,11424,0.0,1.2,-30,-38,-41,-50,-55
9,11424,0.0,1.2,-28,-37,-41,-51,-32
10,11424,0.0,1.2,-28,-38,-45,-47,-41
11,11424,0.0,1.2,-31,-36,-39,-48,-48
12,11424,0.0,1.2,-31,-37,-46,-50,-48
13,11424,0.0,1.2,-31,-39,-38,-50,-46
14,11424,0.0,1.2,-32,-60,-46,-48,-46
15,11424,0.0,1.2,-31,-37,-38,-47,-55
16,11424,0.0,1.2,-32,-40,-43,-40,-49
17,11424,0.0,1.2,-28,-55,-39,-51,-55
18,11424,0.0,1.2,-29,-36,-38,-38,-33
19,11424,0.0,1.2,-32,-57,-47,-48,-32
0,11425,0.0,1.8,-34,-33,-41,-50,-43
1,11425,0.0,1.8,-34,-31,-41,-45,-39
2,11425,0.0,1.8,-34,-35,-49,-40,-39
3,11425,0.0,1.8,-82,-31,-68,-46,-39
4,11425,0.0,1.8,-34,-35,-49,-44,-42
5,11425,0.0,1.8,-38,-33,-46,-40,-39
6,11425,0.0,1.8,-33,-34,-44,-49,-39
7,11425,0.0,1.8,-37,-36,-48,-50,-42
8,11425,0.0,1.8,-33,-34,-49,-41,-37
9,11425,0.0,1.8,-33,-31,-57,-40,-43
10,11425,0.0,1.8,-36,-34,-48,-49,-36
11,11425,0.0,1.8,-36,-31,-61,-40,-56
12,11425,0.0,1.8,-34,-34,-48,-50,-61
13,11425,0.0,1.8,-34,-37,-41,-40,-41
14,11425,0.0,1.8,-34,-34,-60,-49,-39
15,11425,0.0,1.8,-36,-31,-40,-49,-58
16,11425,0.0,1.8,-34,-31,-40,-40,-37
17,11425,0.0,1.8,-34,-36,-48,-40,-39
18,11425,0.0,1.8,-33,-36,-49,-44,-36
19,11425,0.0,1.8,-35,-34,-40,-44,-40
0,11426,0.0,2.4,-31,-45,-47,-45,-37
1,11426,0.0,2.4,-42,-46,-44,-43,-44
2,11426,0.0,2.4,-38,-44,-45,-48,-51
3,11426,0.0,2.4,-31,-52,-47,-48,-35
4,11426,0.0,2.4,-37,-42,-47,-45,-45
5,11426,0.0,2.4,-31,-47,-48,-42,-37
6,11426,0.0,2.4,-31,-47,-46,-47,-39
7,11426,0.0,2.4,-32,-44,-50,-42,-36
8,11426,0.0,2.4,-38,-45,-44,-42,-36
9,11426,0.0,2.4,-44,-41,-47,-43,-37
10,11426,0.0,2.4,-36,-47,-48,-44,-35
11,11426,0.0,2.4,-43,-44,-48,-44,-52
12,11426,0.0,2.4,-43,-48,-48,-43,-36
